section,experiment,source,metric,value,unit,notes
eval,MEMOFF_FULL,evaluate_results/libero_plus/libero_uncond_2cam224_1e-4/MEMOFF_20260618_143153/summary.csv,total_success_rate,49.83,percent,Full LIBERO-plus; 4998/10030
eval,MEMOFF_FULL,evaluate_results/libero_plus/libero_uncond_2cam224_1e-4/MEMOFF_20260618_143153/summary.csv,successes,4998,count,
eval,MEMOFF_FULL,evaluate_results/libero_plus/libero_uncond_2cam224_1e-4/MEMOFF_20260618_143153/summary.csv,total_cases,10030,count,
eval,stage1_FULL,evaluate_results/libero_plus/libero_uncond_2cam224_1e-4/FULL_20260617_180757/summary.csv,total_success_rate,45.64,percent,Full LIBERO-plus; 4578/10030
eval,stage1_FULL,evaluate_results/libero_plus/libero_uncond_2cam224_1e-4/FULL_20260617_180757/summary.csv,successes,4578,count,
eval,stage1_FULL,evaluate_results/libero_plus/libero_uncond_2cam224_1e-4/FULL_20260617_180757/summary.csv,total_cases,10030,count,
eval,stage2_step3000_FULL,evaluate_results/libero_plus/stage2_step3000_FULL/summary.csv,total_success_rate,46.43,percent,Full eval subset without Noise column; 3914/8429
eval,stage2_step3000_FULL,evaluate_results/libero_plus/stage2_step3000_FULL/summary.csv,successes,3914,count,
eval,stage2_step3000_FULL,evaluate_results/libero_plus/stage2_step3000_FULL/summary.csv,total_cases,8429,count,
eval,stage1_PILOT_step3000_H16,evaluate_results/libero_plus/PILOT_step3000_H16/summary.csv,total_success_rate,49.50,percent,200-case PILOT
eval,stage1_PILOT_step5000_H16,evaluate_results/libero_plus/PILOT_step5000_H16/summary.csv,total_success_rate,49.00,percent,200-case PILOT
eval,stage1_PILOT_step6000_H16,evaluate_results/libero_plus/PILOT_step6000_H16/summary.csv,total_success_rate,46.00,percent,200-case PILOT
eval,stage1_PILOT_step6000_H4,evaluate_results/libero_plus/PILOT_step6000_H4/summary.csv,total_success_rate,45.50,percent,200-case PILOT
eval,stage3_PILOT_step1000_H4,evaluate_results/libero_plus/stage3_PILOT_step1000_H4/summary.csv,total_success_rate,2.00,percent,200-case PILOT
eval,stage3_PILOT_step2000_H4,evaluate_results/libero_plus/stage3_PILOT_step2000_H4/summary.csv,total_success_rate,12.50,percent,200-case PILOT
eval,stage3_PILOT_step3000_H4,evaluate_results/libero_plus/stage3_PILOT_step3000_H4/summary.csv,total_success_rate,17.50,percent,200-case PILOT
eval,stage3_PILOT_step4000_H4,evaluate_results/libero_plus/stage3_PILOT_step4000_H4/summary.csv,total_success_rate,17.00,percent,200-case PILOT
config,stage1,runs/mem_temporal_libero/config.yaml,learning_rate,0.0001,lr,train_temporal_only=true; warm_start=true
config,stage1,runs/mem_temporal_libero/config.yaml,batch_size,16,count,
config,stage2,runs/mem_temporal_libero_stage2/config.yaml,learning_rate,0.00003,lr,train_temporal_only=true; warm_start=false; unfreeze_patch_embed=true
config,stage2,runs/mem_temporal_libero_stage2.log,resume_checkpoint,runs/mem_temporal_libero/checkpoints/weights/step_021700.pt,path,loaded 4 VAE-memory temporal params
config,stage3,runs/mem_temporal_libero_stage3/config.yaml,learning_rate,0.00001,lr,train_temporal_only=false; warm_start=true; unfreeze_patch_embed=false
config,stage3,runs/mem_temporal_libero_stage3/wandb/offline-run-20260620_133813-at0tme9z/files/output.log,resume_checkpoint,checkpoints/fastwam_release/libero_uncond_2cam224.pt,path,release checkpoint has no vae_memory
weight_drift,stage1_21700,runs/mem_temporal_libero/checkpoints/weights/step_021700.pt,mot_all_rel_l2,0,ratio,relative to release
weight_drift,stage1_21700,runs/mem_temporal_libero/checkpoints/weights/step_021700.pt,proprio_encoder_rel_l2,0,ratio,relative to release
